Estado;CodigoCatalogo;Marca;Imagen;HojaExcel;FilasExcel;NombreReferencia
AMBIGUO;CKN-1510;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-2515;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-2515;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-3525;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-3525;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-4030;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-4030;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-5040;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-5040;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-6040;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-6040;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
AMBIGUO;CKN-7560;Zoloda;catalogador-v2-38d0178fa7067b22.png;ZOLODA Cablecanal;F16:G42;cablecanal tablero
AMBIGUO;CKN-7560;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
LISTO;CKN-9060;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E36:E43;cablecanal tablero
LISTO;CKN-ESQUINERO;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E45:E49;accesorio ckn
LISTO;CKN-EXTREMO;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E45:E49;accesorio ckn
LISTO;CKN-RINCONERO;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E45:E49;accesorio ckn
LISTO;CKN-TAPA;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E45:E49;accesorio ckn
LISTO;CKN-UNION;Zoloda;catalogador-v2-88885e484388a80b.png;ZOLODA Cablecanal;E45:E49;accesorio ckn
LISTO;CMP 120;LCT;catalogador-v2-d0304ef5ded505a7.png;LCT;filas 136:140;terminal un orificio
LISTO;CMP 150;LCT;catalogador-v2-d0304ef5ded505a7.png;LCT;filas 136:140;terminal un orificio
LISTO;CMP 185;LCT;catalogador-v2-d0304ef5ded505a7.png;LCT;filas 136:140;terminal un orificio
LISTO;CMP 240;LCT;catalogador-v2-d0304ef5ded505a7.png;LCT;filas 136:140;terminal un orificio
LISTO;CMP 95;LCT;catalogador-v2-d0304ef5ded505a7.png;LCT;filas 136:140;terminal un orificio
